Date and Time,Underdrain Outflow (cfs),Underdrain Outflow (in/hr),,,
4/28/11 2:42,3.82403E-05,0.002404632,,4/28/11 2:08,0.12
4/28/11 2:44,7.36852E-05,0.004633478,,4/28/11 2:09,0.12
4/28/11 2:46,7.36852E-05,0.004633478,,4/28/11 2:10,0.12
4/28/11 2:48,0.000105378,0.006626388,,4/28/11 2:11,0.06
4/28/11 2:50,0.000133731,0.008409275,,4/28/11 2:12,0.06
4/28/11 2:52,0.000166228,0.010452735,,4/28/11 2:13,0.06
4/28/11 2:54,0.000166228,0.010452735,,4/28/11 2:14,0.06
4/28/11 2:56,0.000203052,0.012768363,,4/28/11 2:15,0.06
4/28/11 2:58,0.000203052,0.012768363,,4/28/11 2:16,0.06
4/28/11 3:00,0.000203052,0.012768363,,4/28/11 2:17,0.06
4/28/11 3:02,0.00025919,0.016298395,,4/28/11 2:18,0.06
4/28/11 3:04,0.00030679,0.019291602,,4/28/11 2:19,0.06
4/28/11 3:06,0.00030679,0.019291602,,4/28/11 2:20,0.06
4/28/11 3:08,0.000359283,0.02259248,,4/28/11 2:21,0.12
4/28/11 3:10,0.000416826,0.026210908,,4/28/11 2:22,0.12
4/28/11 3:12,0.000416826,0.026210908,,4/28/11 2:23,0.12
4/28/11 3:14,0.000501668,0.031545962,,4/28/11 2:24,0.12
4/28/11 3:16,0.000501668,0.031545962,,4/28/11 2:25,0.12
4/28/11 3:18,0.00057158,0.035942124,,4/28/11 2:26,0.24
4/28/11 3:20,0.000647032,0.040686743,,4/28/11 2:27,0.24
4/28/11 3:22,0.000756496,0.047570043,,4/28/11 2:28,0.24
4/28/11 3:24,0.000756496,0.047570043,,4/28/11 2:29,0.24
4/28/11 3:26,0.000647032,0.040686743,,4/28/11 2:30,0.24
4/28/11 3:28,0.000647032,0.040686743,,4/28/11 2:31,0.12
4/28/11 3:30,0.000647032,0.040686743,,4/28/11 2:32,0.12
4/28/11 3:32,0.00057158,0.035942124,,4/28/11 2:33,0.12
4/28/11 3:34,0.000647032,0.040686743,,4/28/11 2:34,0.12
4/28/11 3:36,0.000647032,0.040686743,,4/28/11 2:35,0.12
4/28/11 3:38,0.000756496,0.047570043,,4/28/11 2:36,0.06
4/28/11 3:40,0.000845414,0.053161403,,4/28/11 2:37,0.06
4/28/11 3:42,0.000647032,0.040686743,,4/28/11 2:38,0.06
4/28/11 3:44,0.000647032,0.040686743,,4/28/11 2:39,0.06
4/28/11 3:46,0.00057158,0.035942124,,4/28/11 2:40,0.06
4/28/11 3:48,0.00057158,0.035942124,,4/28/11 2:41,0.06
4/28/11 3:50,0.000501668,0.031545962,,4/28/11 2:42,0.06
4/28/11 3:52,0.000501668,0.031545962,,4/28/11 2:43,0.06
4/28/11 3:54,0.000501668,0.031545962,,4/28/11 2:44,0.06
4/28/11 3:56,0.000501668,0.031545962,,4/28/11 2:45,0.06
4/28/11 3:58,0.000501668,0.031545962,,4/28/11 2:46,0.05
4/28/11 4:00,0.000501668,0.031545962,,4/28/11 2:47,0.05
4/28/11 4:02,0.000501668,0.031545962,,4/28/11 2:48,0.05
4/28/11 4:04,0.000756496,0.047570043,,4/28/11 2:49,0.05
4/28/11 4:06,0.001185808,0.074566101,,4/28/11 2:50,0.05
4/28/11 4:08,0.001041358,0.065482743,,4/28/11 2:51,0.05
4/28/11 4:10,0.001301611,0.08184805,,4/28/11 2:52,0.05
4/28/11 4:12,0.001301611,0.08184805,,4/28/11 2:53,0.05
4/28/11 4:14,0.001041358,0.065482743,,4/28/11 2:54,0.05
4/28/11 4:16,0.001185808,0.074566101,,4/28/11 2:55,0.05
4/28/11 4:18,0.001041358,0.065482743,,4/28/11 2:56,0.05
4/28/11 4:20,0.001041358,0.065482743,,4/28/11 2:57,0.05
4/28/11 4:22,0.001041358,0.065482743,,4/28/11 2:58,0.14
4/28/11 4:24,0.001041358,0.065482743,,4/28/11 2:59,0.24
4/28/11 4:26,0.001423948,0.08954081,,4/28/11 3:00,0.24
4/28/11 4:28,0.002415016,0.151861244,,4/28/11 3:01,0.24
4/28/11 4:30,0.003233343,0.203319355,,4/28/11 3:02,0.24
4/28/11 4:32,0.003734408,0.234827383,,4/28/11 3:03,0.24
4/28/11 4:34,0.003734408,0.234827383,,4/28/11 3:04,0.24
